id,profile_title,user_id,grinder,grinderBrand,grinderModel,grind,grindScale,roastLevel,beanAge,dose,volumeTarget,actualVolume,timeTarget,actualTime,humidity,waterTempC,tampPressureKg
bf5f5747-d7a0-4c4b-9074-348affbbfe0c,Londonium,6df0022e-7de2-43c3-a525-548b2579b64e,Mahlkönig_EK43 S,Mahlkönig,EK43 S,1.5,,Medium,,18,,47.9,,37.011,,,
a325469c-094c-4757-bbc7-66182a52518f,Damian's LRv3,4e964052-1338-4542-90fc-de0ba37ab6cb,Philos,Philos,,31,,,,18,,34.5,,33.523,,,
8f92a146-51f4-4700-9875-cf804a628d00,Adaptive (for medium roasts),fae9591a-c94d-4a3c-b83f-2aa33a3ef3b3,,,,0,,,,20,,54.9,,51,,,
ebe44515-1168-48ef-9746-b4558aaf4d8b,Extractamundo Dos!,ff7b4446-e109-469d-8110-e8706dfef48c,,,,1.5,,3,,18,,41.37,,12.739,,,
3119c19c-5000-46b8-a342-4d5637371bd8,Gentle and sweet,a71588ee-2837-465a-95d2-69b7d69639e6,DF83V_HU,DF83V,HU,19,,Light,,17.5,,49,,25.495,,,
2d52a311-e7b6-49ca-96e8-8cd0c28c8ce1,U1 Coffee,e0166f77-d500-4c6a-95da-139e13b20595,,,,1,,,,18,,37.4,,45.309,,,
c61f4af6-5993-4c91-a0a5-8598158f9161,U1 Coffee,e0166f77-d500-4c6a-95da-139e13b20595,,,,1,,,,18,,41.1,,20.567,,,
862adf64-05b7-432f-ba2b-09748e0d876e,Damian's LRv3 2,2ebca1c7-8153-4c43-8e38-8a8b19e830d7,Niche,Niche,,14,,Medium ,,18,,38.7,,48.06,,,
90bc3fc0-b30a-40d9-b2d8-8e5cc05b8a4b,U1 Coffee,e0166f77-d500-4c6a-95da-139e13b20595,,,,1,,,,18,,40.2,,23.529,,,
64e402dc-4d62-4078-aec0-8d458e3d3b2f,"B/M,PI=9m:4.5b,RH=8.4b:6.5m:6s,I=10b:20s",30a6dd0c-7219-43a7-b3a9-a466213133fa,P64,P64,,5.5257,,"Pussi nro 21, pötkylätäyttö 3, BB 12/2026",,15.2,,24.2,,16.696,,,
29165ef7-6e5b-480e-a5ef-c5fc4602b96b,Standard 2 3,d333357a-115c-46c3-a140-c4340d49f584,Nautilus,Nautilus,,18,,,,16,,40.1,,32.541,,,
1055a9f3-450a-4f38-9236-bea46fffc6b0,Standard 2 3,d333357a-115c-46c3-a140-c4340d49f584,Nautilus,Nautilus,,18,,,,16,,39.7,,21.01,,,
057165b4-6d8b-4338-bbff-ae1028dc001c,D-Flow / Q,78eae516-a2aa-4b76-a37d-4ed36d85fa58,Lagom_P100 (Mizen 98OM),Lagom,P100 (Mizen 98OM),1.4,,,,18,,40.1,,27.547,,,
c912d6c1-5b68-409d-87e8-b68540ff7ef2,Damian's LRv3,62a73803-cebf-441f-8456-3564929b4162,,,,0,,,,19.6,,39.6,,29.549,,,
